gp,p_full,p_part,p_coast,p_brk,decel_p10,shifts_per_km,throttle_avg,coast_avg_len
Abu Dhabi,63.72870405727924,3.075865950676213,2.5206742243436757,13.850155131264916,-43.34558870326173,7.7618750994431185,82.61149164677805,0.33840175019888624
Bahrain,61.344899762470305,2.965055106888361,2.348380997624703,17.007345843230404,-51.49106888361045,8.707861757719714,83.37600475059382,0.34038052256532064
Belgian,67.54038788300836,2.5152869080779943,1.9721566852367687,12.279397632311978,-34.555362116991645,5.798732590529248,81.79956824512534,0.37600139275766015
British,66.98721531346351,3.1071017471736897,1.6804234326824254,13.006624871531347,-33.636336073997946,5.752864337101747,82.30818602261049,0.37770966084275437
Hungarian,50.91877024981075,7.4972906888720665,3.153152914458743,21.138747161241483,-47.309224072672215,8.82604882664648,76.01426570779712,0.3555522331566995
Italian,74.75268694041371,2.1003334362457546,1.9372618092003706,11.570228774313058,-38.75629515282495,5.9088650818153745,88.03023772769373,0.3140759493670886
Monaco,43.923552641165756,9.60076247723133,3.6559504553734063,25.808760291438983,-54.518877959927146,12.340124954462661,69.94888524590164,0.3736539162112933
Singapore,49.465021002710024,10.098923441734417,3.3472554200542004,21.493753387533875,-54.39972899728997,10.387538617886179,73.19717479674797,0.3112689701897019
